Date,Price,Open,High,Low,Vol.,Change %
13-Jan-14,6272.75,6189.55,6288.2,6189.55,135.01M,1.64%
14-Jan-14,6241.85,6260.25,6280.35,6234.15,110.23M,-0.49%
15-Jan-14,6320.9,6265.95,6325.2,6265.3,145.92M,1.27%
16-Jan-14,6318.9,6341.35,6346.5,6299.85,153.42M,-0.03%
17-Jan-14,6261.65,6306.25,6327.1,6246.35,167.72M,-0.91%
20-Jan-14,6303.95,6261.75,6307.45,6243.35,122.14M,0.68%
21-Jan-14,6313.8,6320.15,6330.3,6297.9,141.73M,0.16%
22-Jan-14,6338.95,6309.05,6349.95,6287.45,137.49M,0.40%
23-Jan-14,6345.65,6325.95,6355.6,6316.4,120.06M,0.11%
24-Jan-14,6266.75,6301.65,6331.45,6263.9,160.27M,-1.24%
27-Jan-14,6135.85,6186.3,6188.55,6130.25,190.44M,-2.09%
28-Jan-14,6126.25,6131.85,6163.6,6085.95,184.11M,-0.16%
29-Jan-14,6120.25,6161.0,6170.45,6109.8,146.73M,-0.10%
30-Jan-14,6073.7,6067.0,6082.85,6027.25,208.06M,-0.76%
31-Jan-14,6089.5,6082.75,6097.85,6067.35,146.71M,0.26%
3-Feb-14,6001.8,6058.8,6074.85,5994.45,134.89M,-1.44%
4-Feb-14,6000.9,5947.6,6017.8,5933.3,183.25M,-0.01%
5-Feb-14,6022.4,6004.25,6028.05,5962.05,166.63M,0.36%
6-Feb-14,6036.3,6028.35,6048.35,5965.4,185.50M,0.23%
7-Feb-14,6063.2,6077.65,6079.95,6030.9,181.93M,0.45%
10-Feb-14,6053.45,6072.8,6083.05,6046.4,133.07M,-0.16%
11-Feb-14,6062.7,6072.45,6081.85,6053.25,150.52M,0.15%
12-Feb-14,6084.0,6085.35,6106.6,6077.4,138.55M,0.35%
13-Feb-14,6001.1,6087.55,6094.4,5991.1,153.65M,-1.36%
14-Feb-14,6048.35,6023.75,6056.4,5984.6,140.20M,0.79%
17-Feb-14,6073.3,6057.1,6080.65,6038.3,108.49M,0.41%
18-Feb-14,6127.1,6071.3,6141.7,6066.8,126.64M,0.89%
19-Feb-14,6152.75,6132.05,6160.35,6125.75,95.25M,0.42%
20-Feb-14,6091.45,6127.15,6129.1,6086.45,132.11M,-1.00%
21-Feb-14,6155.45,6108.3,6159.65,6108.0,112.60M,1.05%
24-Feb-14,6186.1,6140.95,6191.85,6130.8,144.88M,0.50%
25-Feb-14,6200.05,6205.7,6216.85,6176.6,146.26M,0.23%
26-Feb-14,6238.8,6202.45,6245.95,6202.1,181.66M,0.62%
28-Feb-14,6276.95,6228.45,6282.7,6228.1,180.60M,0.61%
3-Mar-14,6221.45,6264.35,6277.75,6212.25,144.56M,-0.88%
4-Mar-14,6297.95,6216.75,6302.15,6215.7,166.82M,1.23%
5-Mar-14,6328.65,6328.45,6336.25,6287.8,160.30M,0.49%
6-Mar-14,6401.15,6344.75,6406.6,6339.7,180.73M,1.15%
7-Mar-14,6526.65,6413.95,6537.8,6413.55,284.92M,1.96%
10-Mar-14,6537.25,6491.7,6562.2,6487.35,242.14M,0.16%
11-Mar-14,6511.9,6537.35,6562.85,6494.25,239.00M,-0.39%
12-Mar-14,6516.9,6497.5,6546.15,6487.3,174.98M,0.08%
13-Mar-14,6493.1,6491.75,6561.45,6476.65,167.86M,-0.37%
14-Mar-14,6504.2,6447.25,6518.45,6432.7,177.34M,0.17%
18-Mar-14,6516.65,6532.45,6574.95,6497.65,179.31M,0.19%
19-Mar-14,6524.05,6530.0,6541.2,6506.0,172.46M,0.11%
20-Mar-14,6483.1,6508.35,6523.65,6473.25,141.98M,-0.63%
21-Mar-14,6493.2,6515.2,6522.9,6485.7,189.85M,0.16%
22-Mar-14,6494.9,6497.8,6502.65,6481.35,9.77M,0.03%
24-Mar-14,6583.5,6510.5,6591.5,6510.5,158.40M,1.36%
25-Mar-14,6589.75,6550.1,6595.55,6544.85,168.12M,0.09%
26-Mar-14,6601.4,6615.65,6627.45,6580.6,186.57M,0.18%
27-Mar-14,6641.75,6613.1,6673.95,6599.5,312.38M,0.61%
28-Mar-14,6695.9,6673.05,6702.6,6643.8,184.82M,0.82%
31-Mar-14,6704.2,6723.15,6730.05,6662.4,220.62M,0.12%
1-Apr-14,6721.05,6729.5,6732.25,6675.45,177.84M,0.25%
2-Apr-14,6752.55,6757.6,6763.5,6723.6,173.34M,0.47%
3-Apr-14,6736.1,6772.05,6776.75,6696.9,197.55M,-0.24%
4-Apr-14,6694.35,6741.85,6741.85,6685.15,155.13M,-0.62%
7-Apr-14,6695.05,6694.25,6725.15,6650.4,133.95M,0.01%
9-Apr-14,6796.2,6722.0,6808.7,6705.1,169.80M,1.51%
10-Apr-14,6796.4,6803.05,6819.05,6777.3,191.13M,0.00%
11-Apr-14,6776.3,6758.35,6789.35,6743.15,140.74M,-0.30%
15-Apr-14,6733.1,6792.7,6813.4,6711.75,123.20M,-0.64%
16-Apr-14,6675.3,6727.25,6748.65,6665.15,119.77M,-0.86%
17-Apr-14,6779.4,6695.45,6783.05,6684.4,131.49M,1.56%
21-Apr-14,6817.65,6789.25,6825.45,6786.9,111.84M,0.56%
22-Apr-14,6815.35,6822.9,6838.0,6806.25,114.69M,-0.03%
23-Apr-14,6840.8,6823.25,6861.6,6820.75,182.97M,0.37%
25-Apr-14,6782.75,6855.8,6869.85,6772.85,154.32M,-0.85%
28-Apr-14,6761.25,6778.55,6786.25,6750.3,118.16M,-0.32%
29-Apr-14,6715.25,6769.0,6779.7,6708.65,115.51M,-0.68%
30-Apr-14,6696.4,6724.95,6780.15,6656.8,161.11M,-0.28%
2-May-14,6694.8,6709.95,6737.65,6689.5,114.28M,-0.02%
5-May-14,6699.35,6681.65,6741.05,6680.45,104.99M,0.07%
6-May-14,6715.3,6719.25,6743.45,6701.9,88.29M,0.24%
7-May-14,6652.55,6708.6,6718.75,6642.9,114.10M,-0.93%
8-May-14,6659.85,6669.9,6688.4,6638.55,101.55M,0.11%
9-May-14,6858.8,6654.15,6871.35,6652.15,166.44M,2.99%
12-May-14,7014.25,6863.4,7020.05,6862.9,157.72M,2.27%
13-May-14,7108.75,7080.0,7172.35,7067.15,232.22M,1.35%
14-May-14,7108.75,7112.0,7142.25,7080.9,177.20M,0.00%
15-May-14,7123.15,7111.3,7152.55,7082.55,186.85M,0.20%
16-May-14,7203.0,7270.2,7563.5,7130.65,393.16M,1.12%
19-May-14,7263.55,7276.85,7291.1,7193.55,316.25M,0.84%
20-May-14,7275.5,7309.95,7353.65,7247.7,255.33M,0.16%
21-May-14,7252.9,7274.85,7287.15,7206.7,203.14M,-0.31%
22-May-14,7276.4,7289.95,7319.55,7258.15,240.94M,0.32%
23-May-14,7367.1,7306.5,7381.0,7293.9,259.64M,1.25%
26-May-14,7359.05,7428.75,7504.0,7269.05,273.24M,-0.11%
27-May-14,7318.0,7363.1,7372.95,7274.75,168.60M,-0.56%
28-May-14,7329.65,7324.95,7344.75,7302.6,175.60M,0.16%
29-May-14,7235.65,7316.6,7325.4,7224.4,241.12M,-1.28%
30-May-14,7229.95,7254.85,7272.5,7118.45,312.15M,-0.08%
2-Jun-14,7362.5,7264.05,7368.6,7239.5,169.89M,1.83%
3-Jun-14,7415.85,7375.35,7424.95,7342.15,234.68M,0.72%
4-Jun-14,7402.25,7417.55,7433.3,7391.35,204.59M,-0.18%
5-Jun-14,7474.1,7399.75,7484.7,7360.5,250.66M,0.97%
6-Jun-14,7583.4,7521.5,7592.7,7497.65,248.40M,1.46%
9-Jun-14,7654.6,7621.65,7673.7,7580.25,231.88M,0.94%
10-Jun-14,7656.4,7679.05,7683.2,7579.3,188.67M,0.02%
11-Jun-14,7626.85,7672.4,7700.05,7589.05,186.18M,-0.39%
12-Jun-14,7649.9,7641.3,7658.0,7593.8,148.21M,0.30%
13-Jun-14,7542.1,7668.2,7678.5,7525.35,174.52M,-1.41%
16-Jun-14,7533.55,7534.8,7548.6,7487.55,155.38M,-0.11%
17-Jun-14,7631.7,7525.05,7637.6,7509.25,157.96M,1.30%
18-Jun-14,7558.2,7636.05,7663.0,7515.5,165.08M,-0.96%
19-Jun-14,7540.7,7580.05,7606.45,7502.55,148.85M,-0.23%
20-Jun-14,7511.45,7543.3,7560.55,7497.3,124.13M,-0.39%
23-Jun-14,7493.35,7514.0,7534.8,7441.6,127.41M,-0.24%
24-Jun-14,7580.2,7515.2,7593.35,7515.2,137.00M,1.16%
25-Jun-14,7569.25,7588.55,7589.25,7557.05,114.97M,-0.14%
26-Jun-14,7493.2,7554.1,7570.2,7481.3,171.68M,-1.00%
27-Jun-14,7508.8,7514.2,7538.75,7482.3,126.67M,0.21%
30-Jun-14,7611.35,7534.05,7623.65,7531.6,152.30M,1.37%
1-Jul-14,7634.7,7629.0,7649.5,7618.15,139.43M,0.31%
2-Jul-14,7725.15,7683.05,7732.4,7677.3,136.32M,1.18%
3-Jul-14,7714.8,7734.35,7754.65,7706.8,133.76M,-0.13%
4-Jul-14,7751.6,7718.1,7758.0,7661.3,113.07M,0.48%
7-Jul-14,7787.15,7780.4,7792.0,7755.1,173.93M,0.46%
8-Jul-14,7623.2,7804.05,7808.85,7595.9,180.65M,-2.11%
9-Jul-14,7585.0,7637.95,7650.1,7551.65,168.35M,-0.50%
10-Jul-14,7567.75,7589.5,7731.05,7479.05,258.39M,-0.23%
11-Jul-14,7459.6,7584.1,7625.85,7447.2,187.59M,-1.43%
14-Jul-14,7454.15,7469.0,7478.45,7422.15,135.23M,-0.07%
15-Jul-14,7526.65,7491.3,7534.9,7459.15,122.07M,0.97%
16-Jul-14,7624.4,7564.15,7640.1,7532.45,167.97M,1.30%
17-Jul-14,7640.45,7612.7,7655.65,7612.7,141.61M,0.21%
18-Jul-14,7663.9,7630.25,7685.0,7595.5,134.60M,0.31%
21-Jul-14,7684.2,7701.65,7722.1,7674.0,105.40M,0.26%
22-Jul-14,7767.85,7708.2,7773.85,7704.8,120.08M,1.09%
23-Jul-14,7795.75,7794.9,7809.2,7752.9,122.12M,0.36%
24-Jul-14,7830.6,7796.25,7835.65,7771.65,117.61M,0.45%
25-Jul-14,7790.45,7828.2,7840.95,7748.6,153.94M,-0.51%
28-Jul-14,7748.7,7792.9,7799.9,7722.65,116.54M,-0.54%
30-Jul-14,7791.4,7746.2,7798.7,7707.6,178.11M,0.55%
31-Jul-14,7721.3,7784.65,7791.85,7711.15,208.86M,-0.90%
1-Aug-14,7602.6,7662.5,7716.7,7593.9,181.07M,-1.54%
4-Aug-14,7683.65,7639.55,7694.8,7622.05,137.04M,1.07%
5-Aug-14,7746.55,7706.65,7752.45,7638.05,128.24M,0.82%
6-Aug-14,7672.05,7726.15,7740.95,7658.95,116.36M,-0.96%
7-Aug-14,7649.25,7651.15,7708.95,7630.4,116.79M,-0.30%
8-Aug-14,7568.55,7588.7,7592.45,7540.1,118.43M,-1.06%
11-Aug-14,7625.95,7619.85,7635.55,7598.6,106.97M,0.76%
12-Aug-14,7727.05,7688.8,7735.75,7654.8,120.61M,1.33%
13-Aug-14,7739.55,7717.3,7757.1,7695.7,154.08M,0.16%
14-Aug-14,7791.7,7756.15,7796.7,7739.1,127.33M,0.67%
18-Aug-14,7874.25,7785.25,7880.5,7779.2,126.74M,1.06%
19-Aug-14,7897.5,7901.0,7918.55,7881.15,140.62M,0.30%
20-Aug-14,7875.3,7915.8,7922.7,7864.05,117.32M,-0.28%
21-Aug-14,7891.1,7875.35,7919.65,7855.95,115.22M,0.20%
22-Aug-14,7913.2,7904.55,7929.05,7900.05,104.08M,0.28%
25-Aug-14,7906.3,7931.75,7968.25,7897.95,118.47M,-0.09%
26-Aug-14,7904.75,7874.5,7915.45,7862.45,142.83M,-0.02%
27-Aug-14,7936.05,7933.9,7946.85,7916.55,119.96M,0.40%
28-Aug-14,7954.35,7942.25,7967.8,7939.2,189.70M,0.23%
1-Sep-14,8027.7,7990.35,8035.0,7984.0,139.33M,0.92%
2-Sep-14,8083.05,8038.6,8101.95,8036.55,134.90M,0.69%
3-Sep-14,8114.6,8110.85,8141.9,8092.25,150.73M,0.39%
4-Sep-14,8095.95,8114.2,8114.8,8060.9,141.28M,-0.23%
5-Sep-14,8086.85,8099.9,8122.7,8049.85,125.98M,-0.11%
8-Sep-14,8173.9,8132.95,8180.2,8126.15,120.69M,1.08%
9-Sep-14,8152.95,8161.9,8174.55,8126.5,104.74M,-0.26%
10-Sep-14,8094.1,8135.55,8135.75,8082.1,107.06M,-0.72%
11-Sep-14,8085.7,8115.15,8127.95,8057.3,122.82M,-0.10%
12-Sep-14,8105.5,8087.05,8114.3,8071.6,111.44M,0.24%
15-Sep-14,8042.0,8070.35,8077.3,8030.0,96.50M,-0.78%
16-Sep-14,7932.9,8036.6,8044.9,7925.15,127.95M,-1.36%
17-Sep-14,7975.5,7971.5,7990.65,7936.95,123.72M,0.54%
18-Sep-14,8114.75,7950.65,8120.85,7939.7,116.93M,1.75%
19-Sep-14,8121.45,8129.4,8160.9,8105.35,161.28M,0.08%
22-Sep-14,8146.3,8084.45,8159.9,8064.8,105.51M,0.31%
23-Sep-14,8017.55,8144.4,8159.75,8008.1,140.78M,-1.58%
24-Sep-14,8002.4,8015.55,8042.05,7950.05,182.21M,-0.19%
25-Sep-14,7911.85,8003.3,8019.3,7877.35,231.90M,-1.13%
26-Sep-14,7968.85,7885.85,7993.3,7841.8,147.84M,0.72%
29-Sep-14,7958.9,7978.45,7991.75,7934.7,97.27M,-0.12%
30-Sep-14,7964.8,7948.8,8030.9,7923.85,141.14M,0.07%
1-Oct-14,7945.55,7960.5,7977.5,7936.7,113.00M,-0.24%
7-Oct-14,7852.4,7897.4,7943.05,7842.7,148.20M,-1.17%
8-Oct-14,7842.7,7828.75,7869.9,7815.75,135.91M,-0.12%
9-Oct-14,7960.55,7886.5,7972.35,7886.5,123.77M,1.50%
10-Oct-14,7859.95,7911.0,7924.05,7848.45,142.93M,-1.26%
13-Oct-14,7884.25,7831.0,7901.15,7796.0,118.78M,0.31%
14-Oct-14,7864.0,7923.25,7928.0,7825.45,225.47M,-0.26%
16-Oct-14,7748.2,7837.3,7893.9,7729.65,213.53M,-1.47%
17-Oct-14,7779.7,7733.75,7819.2,7723.85,177.62M,0.41%
20-Oct-14,7879.4,7896.95,7905.95,7856.95,176.17M,1.28%
21-Oct-14,7927.75,7906.15,7936.6,7874.35,163.40M,0.61%
22-Oct-14,7995.9,7997.8,8005.0,7974.55,151.10M,0.86%
23-Oct-14,8014.55,8027.7,8031.75,8008.85,19.64M,0.23%
27-Oct-14,7991.7,8064.35,8064.4,7985.65,132.83M,-0.29%
28-Oct-14,8027.6,8002.4,8037.8,7995.05,124.06M,0.45%
29-Oct-14,8090.45,8077.05,8097.95,8052.25,148.31M,0.78%
30-Oct-14,8169.2,8085.2,8181.55,8085.2,205.67M,0.97%
31-Oct-14,8322.2,8200.8,8330.75,8198.05,176.16M,1.87%
3-Nov-14,8324.15,8348.15,8350.6,8297.65,141.09M,0.02%
5-Nov-14,8338.3,8351.25,8365.55,8323.5,161.62M,0.17%
7-Nov-14,8337.0,8331.85,8360.35,8290.25,153.43M,-0.02%
10-Nov-14,8344.25,8337.8,8383.05,8304.45,130.75M,0.09%
11-Nov-14,8362.65,8354.1,8378.7,8321.85,122.01M,0.22%
12-Nov-14,8383.3,8378.9,8415.05,8370.5,125.24M,0.25%
13-Nov-14,8357.85,8405.25,8408.0,8320.35,127.36M,-0.30%
14-Nov-14,8389.9,8360.7,8400.65,8346.8,146.77M,0.38%
17-Nov-14,8430.75,8378.4,8438.1,8349.1,113.88M,0.49%
18-Nov-14,8425.9,8441.25,8454.5,8407.25,134.68M,-0.06%
